experiment;function;algorithm;bkpSize;n;t
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;91;91;0.365859ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;92;92;0.379361ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;93;93;0.381444ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;94;94;0.394237ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;95;95;0.397432ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;96;96;0.405374ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;97;97;0.413454ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;98;98;0.421583ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;99;99;0.430032ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;100;100;0.438497ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;101;101;0.44691ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;102;102;0.455787ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;103;103;0.468904ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;104;104;0.473451ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;105;105;0.481803ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;106;106;0.49067ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;107;107;0.500095ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;108;108;0.528189ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;109;109;0.518055ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;110;110;0.527353ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;111;111;0.541136ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;112;112;0.546361ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;113;113;0.555799ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;114;114;0.56546ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;115;115;0.575161ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;116;116;0.5847ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;117;117;0.594835ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;118;118;0.604169ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;119;119;0.614594ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;120;120;0.624252ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;121;121;0.634817ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;122;122;0.644597ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;123;123;0.655642ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;124;124;0.669914ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;125;125;0.696058ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;126;126;0.698708ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;127;127;0.699536ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;128;128;0.707823ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;129;129;0.725576ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;130;130;0.729286ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;131;131;0.742357ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;132;132;0.750257ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;133;133;0.764188ms
compare_algorithms;allItemsSize1Value1_nEqualsW;dynamic_programming;134;134;0.780308ms
